8/8/8/8/8/8/8/KRk5 b - - 0 1,449,37625,-30
8/8/8/8/8/8/8/KR1k4 b - - 0 1,449,38265,-30
8/8/8/8/8/8/8/KR2k3 b - - 0 1,449,38905,-22
8/8/8/8/8/8/8/KR3k2 b - - 0 1,449,39545,-22
8/8/8/8/8/8/8/KR4k1 b - - 0 1,449,40185,-22
8/8/8/8/8/8/8/KR5k b - - 0 1,449,40825,-20
8/8/8/8/8/8/2k5/KR6 w - - 0 1,449,32505,29
8/8/8/8/8/8/2k5/KR6 b - - 0 1,449,32505,-30
8/8/8/8/8/8/3k4/KR6 w - - 0 1,449,33145,21
8/8/8/8/8/8/3k4/KR6 b - - 0 1,449,33145,-30
8/8/8/8/8/8/4k3/KR6 w - - 0 1,449,33785,19
8/8/8/8/8/8/4k3/KR6 b - - 0 1,449,33785,-30
8/8/8/8/8/8/5k2/KR6 w - - 0 1,449,34425,21
8/8/8/8/8/8/5k2/KR6 b - - 0 1,449,34425,-26
8/8/8/8/8/8/6k1/KR6 w - - 0 1,449,35065,19
8/8/8/8/8/8/6k1/KR6 b - - 0 1,449,35065,-26
8/8/8/8/8/8/7k/KR6 w - - 0 1,449,35705,19
8/8/8/8/8/8/7k/KR6 b - - 0 1,449,35705,-24
8/8/8/8/8/k7/8/KR6 w - - 0 1,449,26105,15
8/8/8/8/8/k7/8/KR6 b - - 0 1,449,26105,-14
8/8/8/8/8/1k6/8/KR6 b - - 0 1,449,26745,-30
8/8/8/8/8/2k5/8/KR6 w - - 0 1,449,27385,27
8/8/8/8/8/2k5/8/KR6 b - - 0 1,449,27385,-30
8/8/8/8/8/3k4/8/KR6 w - - 0 1,449,28025,29
8/8/8/8/8/3k4/8/KR6 b - - 0 1,449,28025,-30
8/8/8/8/8/4k3/8/KR6 w - - 0 1,449,28665,23
8/8/8/8/8/4k3/8/KR6 b - - 0 1,449,28665,-30
8/8/8/8/8/5k2/8/KR6 w - - 0 1,449,29305,25
8/8/8/8/8/5k2/8/KR6 b - - 0 1,449,29305,-30
8/8/8/8/8/6k1/8/KR6 w - - 0 1,449,29945,23
8/8/8/8/8/6k1/8/KR6 b - - 0 1,449,29945,-30
8/8/8/8/8/7k/8/KR6 w - - 0 1,449,30585,23
8/8/8/8/8/7k/8/KR6 b - - 0 1,449,30585,-28
8/8/8/8/k7/8/8/KR6 w - - 0 1,449,20985,13
8/8/8/8/k7/8/8/KR6 b - - 0 1,449,20985,-16
8/8/8/8/1k6/8/8/KR6 b - - 0 1,449,21625,-28
8/8/8/8/2k5/8/8/KR6 w - - 0 1,449,22265,27
8/8/8/8/2k5/8/8/KR6 b - - 0 1,449,22265,-30
8/8/8/8/3k4/8/8/KR6 w - - 0 1,449,22905,29
8/8/8/8/3k4/8/8/KR6 b - - 0 1,449,22905,-30
8/8/8/8/4k3/8/8/KR6 w - - 0 1,449,23545,29
8/8/8/8/4k3/8/8/KR6 b - - 0 1,449,23545,-30
8/8/8/8/5k2/8/8/KR6 w - - 0 1,449,24185,29
8/8/8/8/5k2/8/8/KR6 b - - 0 1,449,24185,-30
8/8/8/8/6k1/8/8/KR6 w - - 0 1,449,24825,27
8/8/8/8/6k1/8/8/KR6 b - - 0 1,449,24825,-30
8/8/8/8/7k/8/8/KR6 w - - 0 1,449,25465,21
8/8/8/8/7k/8/8/KR6 b - - 0 1,449,25465,-28
8/8/8/k7/8/8/8/KR6 w - - 0 1,449,15865,15
8/8/8/k7/8/8/8/KR6 b - - 0 1,449,15865,-14
8/8/8/1k6/8/8/8/KR6 b - - 0 1,449,16505,-28
8/8/8/2k5/8/8/8/KR6 w - - 0 1,449,17145,25
8/8/8/2k5/8/8/8/KR6 b - - 0 1,449,17145,-30
8/8/8/3k4/8/8/8/KR6 w - - 0 1,449,17785,29
8/8/8/3k4/8/8/8/KR6 b - - 0 1,449,17785,-30
8/8/8/4k3/8/8/8/KR6 w - - 0 1,449,18425,29
8/8/8/4k3/8/8/8/KR6 b - - 0 1,449,18425,-30
8/8/8/5k2/8/8/8/KR6 w - - 0 1,449,19065,29
8/8/8/5k2/8/8/8/KR6 b - - 0 1,449,19065,-30
8/8/8/6k1/8/8/8/KR6 w - - 0 1,449,19705,25
8/8/8/6k1/8/8/8/KR6 b - - 0 1,449,19705,-30
8/8/8/7k/8/8/8/KR6 w - - 0 1,449,20345,23
8/8/8/7k/8/8/8/KR6 b - - 0 1,449,20345,-28
8/8/k7/8/8/8/8/KR6 w - - 0 1,449,10745,13
8/8/k7/8/8/8/8/KR6 b - - 0 1,449,10745,-16
8/8/1k6/8/8/8/8/KR6 b - - 0 1,449,11385,-26
8/8/2k5/8/8/8/8/KR6 w - - 0 1,449,12025,25
