8/8/6K1/8/8/8/8/Rk6 b - - 0 1,29888,36984,0
8/8/6K1/8/8/8/8/R1k5 b - - 0 1,29888,37624,-26
8/8/6K1/8/8/8/8/R2k4 b - - 0 1,29888,38264,-24
8/8/6K1/8/8/8/8/R3k3 b - - 0 1,29888,38904,-24
8/8/6K1/8/8/8/8/R4k2 b - - 0 1,29888,39544,-24
8/8/6K1/8/8/8/8/R5k1 b - - 0 1,29888,40184,-22
8/8/6K1/8/8/8/8/R6k b - - 0 1,29888,40824,-20
8/8/6K1/8/8/8/k7/R7 b - - 0 1,29888,31224,0
8/8/6K1/8/8/8/1k6/R7 w - - 0 1,29888,31864,25
8/8/6K1/8/8/8/1k6/R7 b - - 0 1,29888,31864,0
8/8/6K1/8/8/8/2k5/R7 w - - 0 1,29888,32504,23
8/8/6K1/8/8/8/2k5/R7 b - - 0 1,29888,32504,-26
8/8/6K1/8/8/8/3k4/R7 w - - 0 1,29888,33144,21
8/8/6K1/8/8/8/3k4/R7 b - - 0 1,29888,33144,-26
8/8/6K1/8/8/8/4k3/R7 w - - 0 1,29888,33784,23
8/8/6K1/8/8/8/4k3/R7 b - - 0 1,29888,33784,-26
8/8/6K1/8/8/8/5k2/R7 w - - 0 1,29888,34424,21
8/8/6K1/8/8/8/5k2/R7 b - - 0 1,29888,34424,-26
8/8/6K1/8/8/8/6k1/R7 w - - 0 1,29888,35064,19
8/8/6K1/8/8/8/6k1/R7 b - - 0 1,29888,35064,-22
8/8/6K1/8/8/8/7k/R7 w - - 0 1,29888,35704,17
8/8/6K1/8/8/8/7k/R7 b - - 0 1,29888,35704,-20
8/8/6K1/8/8/k7/8/R7 b - - 0 1,29888,26104,-26
8/8/6K1/8/8/1k6/8/R7 w - - 0 1,29888,26744,25
8/8/6K1/8/8/1k6/8/R7 b - - 0 1,29888,26744,-26
8/8/6K1/8/8/2k5/8/R7 w - - 0 1,29888,27384,25
8/8/6K1/8/8/2k5/8/R7 b - - 0 1,29888,27384,-26
8/8/6K1/8/8/3k4/8/R7 w - - 0 1,29888,28024,25
8/8/6K1/8/8/3k4/8/R7 b - - 0 1,29888,28024,-28
8/8/6K1/8/8/4k3/8/R7 w - - 0 1,29888,28664,25
8/8/6K1/8/8/4k3/8/R7 b - - 0 1,29888,28664,-28
8/8/6K1/8/8/5k2/8/R7 w - - 0 1,29888,29304,19
8/8/6K1/8/8/5k2/8/R7 b - - 0 1,29888,29304,-28
8/8/6K1/8/8/6k1/8/R7 w - - 0 1,29888,29944,17
8/8/6K1/8/8/6k1/8/R7 b - - 0 1,29888,29944,-22
8/8/6K1/8/8/7k/8/R7 w - - 0 1,29888,30584,13
8/8/6K1/8/8/7k/8/R7 b - - 0 1,29888,30584,-20
8/8/6K1/8/k7/8/8/R7 b - - 0 1,29888,20984,-26
8/8/6K1/8/1k6/8/8/R7 w - - 0 1,29888,21624,25
8/8/6K1/8/1k6/8/8/R7 b - - 0 1,29888,21624,-26
8/8/6K1/8/2k5/8/8/R7 w - - 0 1,29888,22264,25
8/8/6K1/8/2k5/8/8/R7 b - - 0 1,29888,22264,-26
8/8/6K1/8/3k4/8/8/R7 w - - 0 1,29888,22904,25
8/8/6K1/8/3k4/8/8/R7 b - - 0 1,29888,22904,-28
8/8/6K1/8/4k3/8/8/R7 w - - 0 1,29888,23544,27
8/8/6K1/8/4k3/8/8/R7 b - - 0 1,29888,23544,-26
8/8/6K1/8/5k2/8/8/R7 w - - 0 1,29888,24184,19
8/8/6K1/8/5k2/8/8/R7 b - - 0 1,29888,24184,-28
8/8/6K1/8/6k1/8/8/R7 w - - 0 1,29888,24824,17
8/8/6K1/8/6k1/8/8/R7 b - - 0 1,29888,24824,-20
8/8/6K1/8/7k/8/8/R7 w - - 0 1,29888,25464,13
8/8/6K1/8/7k/8/8/R7 b - - 0 1,29888,25464,-18
8/8/6K1/k7/8/8/8/R7 b - - 0 1,29888,15864,-26
8/8/6K1/1k6/8/8/8/R7 w - - 0 1,29888,16504,23
8/8/6K1/1k6/8/8/8/R7 b - - 0 1,29888,16504,-26
8/8/6K1/2k5/8/8/8/R7 w - - 0 1,29888,17144,25
8/8/6K1/2k5/8/8/8/R7 b - - 0 1,29888,17144,-26
8/8/6K1/3k4/8/8/8/R7 w - - 0 1,29888,17784,25
8/8/6K1/3k4/8/8/8/R7 b - - 0 1,29888,17784,-28
8/8/6K1/4k3/8/8/8/R7 w - - 0 1,29888,18424,25
8/8/6K1/4k3/8/8/8/R7 b - - 0 1,29888,18424,-28
8/8/k5K1/8/8/8/8/R7 b - - 0 1,29888,10744,-24
8/8/1k4K1/8/8/8/8/R7 w - - 0 1,29888,11384,23
8/8/1k4K1/8/8/8/8/R7 b - - 0 1,29888,11384,-26
8/8/2k3K1/8/8/8/8/R7 w - - 0 1,29888,12024,23
8/8/2k3K1/8/8/8/8/R7 b - - 0 1,29888,12024,-26
8/8/3k2K1/8/8/8/8/R7 w - - 0 1,29888,12664,23
8/8/3k2K1/8/8/8/8/R7 b - - 0 1,29888,12664,-26
8/8/4k1K1/8/8/8/8/R7 w - - 0 1,29888,13304,21
8/8/4k1K1/8/8/8/8/R7 b - - 0 1,29888,13304,-26
8/k7/6K1/8/8/8/8/R7 b - - 0 1,29888,5624,-24
8/1k6/6K1/8/8/8/8/R7 w - - 0 1,29888,6264,23
8/1k6/6K1/8/8/8/8/R7 b - - 0 1,29888,6264,-24
8/2k5/6K1/8/8/8/8/R7 w - - 0 1,29888,6904,19
8/2k5/6K1/8/8/8/8/R7 b - - 0 1,29888,6904,-24
8/3k4/6K1/8/8/8/8/R7 w - - 0 1,29888,7544,19
8/3k4/6K1/8/8/8/8/R7 b - - 0 1,29888,7544,-24
8/4k3/6K1/8/8/8/8/R7 w - - 0 1,29888,8184,19
8/4k3/6K1/8/8/8/8/R7 b - - 0 1,29888,8184,-24
k7/8/6K1/8/8/8/8/R7 b - - 0 1,29888,504,-24
1k6/8/6K1/8/8/8/8/R7 w - - 0 1,29888,1144,19
1k6/8/6K1/8/8/8/8/R7 b - - 0 1,29888,1144,-24
2k5/8/6K1/8/8/8/8/R7 w - - 0 1,29888,1784,15
2k5/8/6K1/8/8/8/8/R7 b - - 0 1,29888,1784,-24
3k4/8/6K1/8/8/8/8/R7 w - - 0 1,29888,2424,15
3k4/8/6K1/8/8/8/8/R7 b - - 0 1,29888,2424,-20
4k3/8/6K1/8/8/8/8/R7 w - - 0 1,29888,3064,15
4k3/8/6K1/8/8/8/8/R7 b - - 0 1,29888,3064,-20
5k2/8/6K1/8/8/8/8/R7 w - - 0 1,29888,3704,3
5k2/8/6K1/8/8/8/8/R7 b - - 0 1,29888,3704,-20
6k1/8/6K1/8/8/8/8/R7 w - - 0 1,29888,4344,1
6k1/8/6K1/8/8/8/8/R7 b - - 0 1,29888,4344,-4
7k/8/6K1/8/8/8/8/R7 w - - 0 1,29888,4984,1
7k/8/6K1/8/8/8/8/R7 b - - 0 1,29888,4984,-2
8/8/6K1/8/8/8/8/kR6 b - - 0 1,29889,36345,0
8/8/6K1/8/8/8/8/1Rk5 b - - 0 1,29889,37625,0
8/8/6K1/8/8/8/8/1R1k4 b - - 0 1,29889,38265,-26
8/8/6K1/8/8/8/8/1R2k3 b - - 0 1,29889,38905,-26
8/8/6K1/8/8/8/8/1R3k2 b - - 0 1,29889,39545,-24
8/8/6K1/8/8/8/8/1R4k1 b - - 0 1,29889,40185,-22
8/8/6K1/8/8/8/8/1R5k b - - 0 1,29889,40825,-20
8/8/6K1/8/8/8/k7/1R6 w - - 0 1,29889,31225,17
8/8/6K1/8/8/8/k7/1R6 b - - 0 1,29889,31225,0
8/8/6K1/8/8/8/1k6/1R6 b - - 0 1,29889,31865,0
8/8/6K1/8/8/8/2k5/1R6 w - - 0 1,29889,32505,25
8/8/6K1/8/8/8/2k5/1R6 b - - 0 1,29889,32505,0
8/8/6K1/8/8/8/3k4/1R6 w - - 0 1,29889,33145,25
8/8/6K1/8/8/8/3k4/1R6 b - - 0 1,29889,33145,-26
8/8/6K1/8/8/8/4k3/1R6 w - - 0 1,29889,33785,23
8/8/6K1/8/8/8/4k3/1R6 b - - 0 1,29889,33785,-26
8/8/6K1/8/8/8/5k2/1R6 w - - 0 1,29889,34425,21
8/8/6K1/8/8/8/5k2/1R6 b - - 0 1,29889,34425,-26
8/8/6K1/8/8/8/6k1/1R6 w - - 0 1,29889,35065,19
