8/8/8/8/8/8/1K2k3/R7 w - - 0 1,6208,33784,19
8/8/8/8/8/8/1K3k2/R7 b - - 0 1,6208,34424,-24
8/8/8/8/8/3k4/1K6/R7 w - - 0 1,6208,28024,21
8/8/8/8/8/6k1/1K6/R7 b - - 0 1,6208,29944,-26
8/8/8/8/2k5/8/1K6/R7 b - - 0 1,6208,22264,-28
8/8/8/8/3k4/8/1K6/R7 b - - 0 1,6208,22904,-28
8/8/8/1k6/8/8/1K6/R7 w - - 0 1,6208,16504,19
8/8/8/3k4/8/8/1K6/R7 w - - 0 1,6208,17784,27
8/8/8/6k1/8/8/1K6/R7 b - - 0 1,6208,19704,-28
8/8/8/7k/8/8/1K6/R7 w - - 0 1,6208,20344,19
8/7k/8/8/8/8/1K6/R7 w - - 0 1,6208,10104,17
5k2/8/8/8/8/8/1K6/R7 w - - 0 1,6208,3704,19
8/8/8/8/8/8/1K6/1R3k2 b - - 0 1,6209,39545,-22
8/8/8/8/8/5k2/1K6/1R6 w - - 0 1,6209,29305,25
8/8/8/8/8/5k2/1K6/1R6 b - - 0 1,6209,29305,-28
8/8/8/8/1k6/8/1K6/1R6 b - - 0 1,6209,21625,-24
8/8/8/8/2k5/8/1K6/1R6 b - - 0 1,6209,22265,-28
8/8/8/k7/8/8/1K6/1R6 b - - 0 1,6209,15865,-20
8/8/2k5/8/8/8/1K6/1R6 b - - 0 1,6209,12025,-28
8/1k6/8/8/8/8/1K6/1R6 b - - 0 1,6209,6265,-22
8/7k/8/8/8/8/1K6/1R6 b - - 0 1,6209,10105,-24
8/8/8/8/8/8/1K6/2R1k3 b - - 0 1,6210,38906,-20
8/8/8/8/8/8/1K3k2/2R5 w - - 0 1,6210,34426,17
8/8/8/8/8/8/1K5k/2R5 b - - 0 1,6210,35706,-22
8/8/8/k7/8/8/1K6/2R5 w - - 0 1,6210,15866,15
8/8/8/1k6/8/8/1K6/2R5 b - - 0 1,6210,16506,-18
8/8/8/4k3/8/8/1K6/2R5 w - - 0 1,6210,18426,27
8/8/4k3/8/8/8/1K6/2R5 b - - 0 1,6210,13306,-28
8/1k6/8/8/8/8/1K6/2R5 w - - 0 1,6210,6266,15
k7/8/8/8/8/8/1K6/2R5 w - - 0 1,6210,506,15
1k6/8/8/8/8/8/1K6/2R5 w - - 0 1,6210,1146,15
7k/8/8/8/8/8/1K6/2R5 b - - 0 1,6210,4986,-24
8/8/8/8/8/8/1K2k3/3R4 b - - 0 1,6211,33787,0
8/8/8/8/8/3k4/1K6/3R4 b - - 0 1,6211,28027,-28
8/8/8/8/8/4k3/1K6/3R4 w - - 0 1,6211,28667,27
8/8/8/8/k7/8/1K6/3R4 b - - 0 1,6211,20987,-20
8/k7/8/8/8/8/1K6/3R4 w - - 0 1,6211,5627,17
5k2/8/8/8/8/8/1K6/3R4 w - - 0 1,6211,3707,21
7k/8/8/8/8/8/1K6/3R4 b - - 0 1,6211,4987,-24
8/8/8/8/8/8/1K6/4Rk2 b - - 0 1,6212,39548,0
8/8/8/8/8/8/1K4k1/4R3 w - - 0 1,6212,35068,19
8/8/8/8/8/8/1K4k1/4R3 b - - 0 1,6212,35068,-26
8/8/8/8/8/6k1/1K6/4R3 w - - 0 1,6212,29948,23
3k4/8/8/8/8/8/1K6/4R3 w - - 0 1,6212,2428,21
6k1/8/8/8/8/8/1K6/4R3 w - - 0 1,6212,4348,21
8/8/8/8/8/8/1K3k2/5R2 b - - 0 1,6213,34429,0
8/8/8/8/8/3k4/1K6/5R2 w - - 0 1,6213,28029,25
8/8/8/8/3k4/8/1K6/5R2 w - - 0 1,6213,22909,27
8/8/8/3k4/8/8/1K6/5R2 b - - 0 1,6213,17789,-28
8/8/1k6/8/8/8/1K6/5R2 w - - 0 1,6213,11389,17
8/8/2k5/8/8/8/1K6/5R2 w - - 0 1,6213,12029,21
8/8/6k1/8/8/8/1K6/5R2 w - - 0 1,6213,14589,21
8/8/8/8/3k4/8/1K6/6R1 w - - 0 1,6214,22910,27
8/8/8/5k2/8/8/1K6/6R1 b - - 0 1,6214,19070,-28
8/8/1k6/8/8/8/1K6/6R1 b - - 0 1,6214,11390,-24
8/8/2k5/8/8/8/1K6/6R1 w - - 0 1,6214,12030,21
8/1k6/8/8/8/8/1K6/6R1 w - - 0 1,6214,6270,17
8/2k5/8/8/8/8/1K6/6R1 b - - 0 1,6214,6910,-26
k7/8/8/8/8/8/1K6/6R1 b - - 0 1,6214,510,-18
3k4/8/8/8/8/8/1K6/6R1 b - - 0 1,6214,2430,-26
8/8/8/8/8/8/1K6/3k3R b - - 0 1,6215,38271,-20
8/8/8/8/8/8/1K1k4/7R w - - 0 1,6215,33151,19
8/8/8/8/8/8/1K4k1/7R b - - 0 1,6215,35071,0
8/8/8/8/8/3k4/1K6/7R w - - 0 1,6215,28031,21
8/8/8/8/8/6k1/1K6/7R b - - 0 1,6215,29951,-28
8/8/8/8/3k4/8/1K6/7R w - - 0 1,6215,22911,27
8/8/8/8/7k/8/1K6/7R b - - 0 1,6215,25471,-26
8/8/8/1k6/8/8/1K6/7R b - - 0 1,6215,16511,-24
8/8/8/5k2/8/8/1K6/7R w - - 0 1,6215,19071,25
8/8/k7/8/8/8/1K6/7R b - - 0 1,6215,10751,-20
8/8/3k4/8/8/8/1K6/7R b - - 0 1,6215,12671,-28
8/k7/8/8/8/8/1K6/7R w - - 0 1,6215,5631,17
8/6k1/8/8/8/8/1K6/7R w - - 0 1,6215,9471,23
1k6/8/8/8/8/8/1K6/7R b - - 0 1,6215,1151,-22
3k4/8/8/8/8/8/1K6/7R w - - 0 1,6215,2431,19
8/8/8/8/8/8/RK6/3k4 w - - 0 1,6216,38256,11
8/8/8/8/8/8/RK6/7k b - - 0 1,6216,40816,-18
8/8/8/8/8/8/RK1k4/8 b - - 0 1,6216,33136,-24
